"Post","Content_URL"
"infosys whistleblowing or crying wolf the it giant has been no stranger to anonymous complaints but the whistleblower mechanism may have just devolved into a tool to rock its boat","https://twitter.com/forbes_india/status/1196364569762861061"
"forbesindiarichlist as rishad premji takes over from his father azim premji at a challenging time he has tough calls to make wipros growth has lagged rivals infosys and tcs in the last  years","https://twitter.com/forbes_india/status/1197031821021569025"
"infosys whistleblowing or crying wolf the it giant has been no stranger to anonymous complaints but the whistleblower mechanism may have just devolved into a tool to rock its boat","https://twitter.com/forbes_india/status/1196405190523408386"
"forbesindiarichlist as rishad premji takes over from his father azim premji at a challenging time he has tough calls to make wipros growth has lagged rivals infosys and tcs in the last  years","https://twitter.com/forbes_india/status/1197092217736683521"
"infosys troubles mohandas pai says co should stop resorting to rhetoric","https://twitter.com/stocks_in/status/1197566265830912000"
"it stocks tumble nifty it index falls over  infosys plunges ","https://twitter.com/stocks_in/status/1197800287072862210"
"former infosysian mohandaspai says infosys should stop resorting to rhetoric","https://twitter.com/moneycontrolcom/status/1197798492984373249"
"itstocks tumble niftyit index falls over  infosys plunges ","https://twitter.com/sanikasurve8/status/1197759257002856448"
"we met ntk chief coordinator seeman and requested him to address the layoff issues in it industry
fite cognizant infosys capgemini stopitlayoff  tamil nadu","https://twitter.com/ielavarasanraja/status/1197740399877472256"
"sharekhanresearch it sector qfy review revenue growth performance mixed while profitability impacted due to higher investments weakness in bfsi amp retail remains concern strong deal flow cont’d preferred picks infosys hcl tech techm tata elxsi mastek ampltts","https://twitter.com/Sharekhan/status/1197359697856278529"
"economictimes infosys kiranshaw ingovern tvmohandaspai nandannilekaniinfosys troubles mohandas pai says co should stop resorting to rhetoric ","https://twitter.com/svassociates/status/1197689348533018625"
"business travel duty of care largely ignored by indian cxo’s scant attention to this aspect given exclusive focus on cost fee minimization
cxo businesstravel asia businesstravelintelligence india gbta blackswan tcs infosys dutyofcare nasscom","https://twitter.com/gauravsundaram/status/1197425130189705216"
"business travel duty of care largely ignored by indian cxo’s scant attention to this aspect given exclusive focus on cost fee minimization
cxo businesstravel asia businesstravelintelligence india gbta blackswan tcs infosys dutyofcare nasscom","https://twitter.com/atProKonsul/status/1197422605680046081"
"infosys done<U+2705><U+2705> hits rs  from rs infosys levelmatters ideamattersbare minimum risk","https://twitter.com/MoneyMystery/status/1197397477344731136"
"infosys hits rs  from risk close to return generated infosys levelmatters ideamattersbare minimum risk","https://twitter.com/MoneyMystery/status/1197399993390288896"
"infosys done<U+2705><U+2705> hits rs  from rs infosys levelmatters ideamattersbare minimum risk","https://twitter.com/bnarsc/status/1197398779806109696"
"infosys husband employee confession  “feel suffocated want to leave all evidences with parents amp commit suicide”<U+25AA><U+FE0F>he is not the only one going through this hell
<U+25AA><U+FE0F>but he is one of the few who has chosen to open upmentoo mensrights menscommission","https://twitter.com/Satish70175875/status/1197394562601254918"
"infosys husband employee confession  “feel suffocated want to leave all evidences with parents amp commit suicide”<U+25AA><U+FE0F>he is not the only one going through this hell
<U+25AA><U+FE0F>but he is one of the few who has chosen to open upmentoo mensrights menscommission","https://twitter.com/CoffeeKKatta/status/1197393785342181377"
"sharekhanresearch it sector qfy review revenue growth performance mixed while profitability impacted due to higher investments weakness in bfsi amp retail remains concern strong deal flow cont’d preferred picks infosys hcl tech techm tata elxsi mastek ampltts","https://twitter.com/kalpeshonline/status/1197361332317634560"
"gst site is not working why there is no news of extension of date for filing bis there any permanent solutionof gst site f  k this gst we simply tired now
gstnfailed gstcouncil gstn infosys narendramodi nirmalasitharaman","https://twitter.com/v13vimal2008/status/1197133673398595584"
"gst site is not working why there is no news of extension of date for filing bis there any permanent solutionof gst site f  k this gst we simply tired now
gstnfailed gstcouncil gstn infosys narendramodi nirmalasitharaman","https://twitter.com/madhav_185/status/1197127314296852481"
"infosys at confluence european update on the “the transformation to a live enterprise” of infosys and for its clients productivity at scale amplify digital workforce transformation scaling cloud reimagine infosys all about ai agiledevopsandmore","https://twitter.com/dlogiudice/status/1197094982894718976"
"skhalakhandi finminindia assochamindia jaintax haldiaarpit jatinharjai shaifalyca the whole credit goes to infosyswhy we are not giving credit to the infosys for failure","https://twitter.com/madhur069/status/1196969496830857216"
"mint expert shorts  tarun bhatia from kroll sends us a dispatch from singapore on how infosys fiasco has corporate governance lessons for everyone infosys package","https://twitter.com/Shrijaagrawal/status/1197015216849973249"
"this should be more worrying for mothers who have sonsmentoo indiassons infosys","https://twitter.com/Armaansjain/status/1196629819460481024"
"this should be more worrying for mothers who have sonsmentoo indiassons infosys","https://twitter.com/Monica10010/status/1196522048274620416"
"reading richard brandons losing my virginity <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E31><U+383C><U+3E63> richardbranson virgin book reading infosys electroniccity library  infosys electronic city","https://twitter.com/mhd_yahiya/status/1196467043521961986"
"the first clue that hr officers at infosys had of a job racket was when people began appearing at the offices of the multinational company with fake offer lettersinfosys jobracket","https://twitter.com/DeccanHerald/status/1196411850897817601"
"infosys whistleblowing or crying wolf the it giant has been no stranger to anonymous complaints but the whistleblower mechanism may have just devolved into a tool to rock its boat","https://twitter.com/RVGRocks/status/1196411604813770752"
"infosys whistleblowing or crying wolf the it giant has been no stranger to anonymous complaints but the whistleblower mechanism may have just devolved into a tool to rock its boat","https://twitter.com/Nadu_unchained/status/1196405647740268544"
"this should be more worrying for mothers who have sonsmentoo indiassons infosys","https://twitter.com/Shankarrao1753/status/1196381144977047552"
"infosys whistleblowing or crying wolf the it giant has been no stranger to anonymous complaints but the whistleblower mechanism may have just devolved into a tool to rock its boat","https://twitter.com/tvmahalingam/status/1196380471074021377"
"infosys whistleblowing or crying wolf the it giant has been no stranger to anonymous complaints but the whistleblower mechanism may have just devolved into a tool to rock its boat","https://twitter.com/KunalTalgeri/status/1196378052302794755"
"my second stock tip is infosys  despite whistleblower alleging some issues there are no major worries and this may be the right time to buy the share at  range","https://twitter.com/RDneruppuda/status/1196262975251738626"
"this should be more worrying for mothers who have sonsmentoo indiassons infosys","https://twitter.com/mynation_F4JSTC/status/1196138539664039936"
"this should be more worrying for mothers who have sonsmentoo indiassons infosys","https://twitter.com/no1_mra/status/1196105096481955840"
"infosys ropes in pwc to investigate whistleblower allegations around contracts customers and connivance of its ceo cfo","https://twitter.com/sachindaveET/status/1196076384927592448"
"this should be more worrying for mothers who have sonsmentoo indiassons infosys","https://twitter.com/CommanMaan/status/1196014332477243392"
"this should be more worrying for mothers who have sonsmentoo indiassons infosys","https://twitter.com/MyNation_CKapil/status/1196013355644772353"
"this should be more worrying for mothers who have sonsmentoo indiassons infosys","https://twitter.com/NeonBendyToe/status/1195978184249896960"
"this should be more worrying for mothers who have sonsmentoo indiassons infosys","https://twitter.com/MensDayOutIndia/status/1195978060895535104"
"infosys husband employee confession  “feel suffocated want to leave all evidences with parents amp commit suicide”<U+25AA><U+FE0F>he is not the only one going through this hell
<U+25AA><U+FE0F>but he is one of the few who has chosen to open upmentoo mensrights menscommission","https://twitter.com/MyNation_Delhi/status/1195973019643965440"
"infosys husband employee confession  “feel suffocated want to leave all evidences with parents amp commit suicide”<U+25AA><U+FE0F>he is not the only one going through this hell
<U+25AA><U+FE0F>but he is one of the few who has chosen to open upmentoo mensrights menscommission","https://twitter.com/MyNationCrusad1/status/1195955776436625408"
"infosys husband employee confession  “feel suffocated want to leave all evidences with parents amp commit suicide”<U+25AA><U+FE0F>he is not the only one going through this hell
<U+25AA><U+FE0F>but he is one of the few who has chosen to open upmentoo mensrights menscommission","https://twitter.com/PrakahTadaka/status/1195938213082226689"
"tvmohandaspai unbelievable this man helmed the affairs of such a prestigious company he actually invests his time in creating and promoting hate nandannilekani infosys infosysnmurthy","https://twitter.com/amber_aftab/status/1195781418300792833"
